地理标志产品 南康甜柚,DB36/T 243-2019,江西省市场监督管理局,69970-2020
地理标志产品 思州柚,DB5226/T214-2019,黔东南苗族侗族自治州市场监督管理局,69545-2020
柚木栽培技术规程,DB45/T 1708-2018,广西壮族自治区市场监督管理局,68656-2019
柚木组培苗生产技术规程,DB45/T 1707-2018,广西壮族自治区市场监督管理局,68655-2019
地理标志产品  容县沙田柚,DB45/T 210-2018,广西壮族自治区市场监督管理局,68324-2019
地理标志产品 广丰马家柚,DB36/T 1057-2018,江西省质量技术监督局,61375-2019
井冈蜜柚套种印度豇豆生产技术规程,DB36/T 1020-2018,江西省质量技术监督局,58628-2018
沙田柚主要病虫害综合防治技术规程,DB45/T 1499-2017,广西壮族自治区质量技术监督局,56101-2017
琯溪蜜柚栽培技术规范,DB35/T 572-2016,福建省质量技术监督局,57016-2017
苹果柚栽培技术规程,DB43/T 1116-2015,湖南省质量技术监督局,52962-2017
红肉蜜柚栽培技术规范,DB35/T 1572-2016,福建省质量技术监督局,52422-2017
柚实雷瘿蚊检疫鉴定方法,DB35/T 1560-2016,福建省质量技术监督局,52410-2017
无籽蜜柚生产技术规程,DB46/T 414-2016,海南省质量技术监督局,52371-2017
桂柚1号栽培技术规程,DB45/T 1237-2015,广西壮族自治区质量技术监督局,49288-2016
柑橘属果实中柚皮苷、橙皮苷和新橙皮苷的测定 高效液相色谱法,DB35/T 1513-2015,福建省质量技术监督局,48580-2016
真龙柚生产技术规程,DB51/T 1879-2014,四川省质量技术监督局,44224-2015
鄂州胡柚丰产栽培技术规程,DB42/T 980-2014,湖北省质量技术监督局,42776-2014
柚木容器苗培育技术规程,DB45/T 975-2014,广西壮族自治区质量技术监督局,42179-2014
人工释放捕食螨防治柑、橙、柚类果树害螨技术规程,DB45/T 924-2013,广西壮族自治区质量技术监督局,38554-2013
有机食品 沙田柚生产技术规程,DB45/T 824-2012,广西壮族自治区质量技术监督局,34842-2012
地理标志产品 建阳桔柚,DB35/T 1097-2011,福建省质量技术监督局,32146-2012
地理标志产品 度尾文旦柚,DB35/T 1128-2011,福建省质量技术监督局,32176-2012
长寿沙田柚生产技术规程,DB50/T 267-2007,重庆市质量技术监督局,22456-2008
长寿沙田柚,DB50/T 266-2007,重庆市质量技术监督局,22455-2008
绿色食品 沙田柚生产技术规程,DB45/T 201-2004,广西壮族自治区质量技术监督局,17959-2006
柚木栽培技术规程,DB44/T 287-2005,广东省质量技术监督局,17812-2006
沙田柚苗木生产技术规程,DB45/T 62-2003,广西壮族自治区质量技术监督局,13952-2003
无公害农产品 沙田柚生产技术规程,DB45/T 68-2003,广西壮族自治区质量技术监督局,13958-2003
沙田柚采收贮藏技术规程,DB45/T 67-2003,广西壮族自治区质量技术监督局,13957-2003
沙田柚苗木分级,DB45/T 69-2003,广西壮族自治区质量技术监督局,13959-2003
沙田柚苗木生产管理,DB45/T 61-2003,广西壮族自治区质量技术监督局,13951-2003
沙田柚生产技术规程,DB44/T 133-2003,广东省质量技术监督局,13756-2003
柚子嫁接苗繁育技术规程,DB44/T 132-2003,广东省质量技术监督局,13755-2003
辰州无核香柚,DB43/T 131.6-1999,湖南省质量技术监督局,838-1999
